account_id,text
acc_1,"Уряд знову приховує правду від людей, потрібно поширювати цю інформацію."
acc_1,"Правду замовчують, але люди мають знати, що відбувається насправді."
acc_2,"Влада приховує важливі факти, тому треба поширити це повідомлення."
acc_2,"Люди повинні знати правду, яку від них постійно приховують."
acc_3,"Сьогодні гарна погода, я гуляв у парку і зробив кілька фото."
acc_3,"Планую на вихідних зустрітися з друзями та відпочити."
acc_4,"Цю інформацію спеціально замовчують, поширюйте її всюди."
acc_4,"Не мовчіть, правду приховують, потрібно донести це до всіх."
acc_5,"Прочитав цікаву статтю про машинне навчання та аналіз тексту."
acc_5,"Сьогодні працював над навчальним проєктом з Python."
acc_6,"Вони не хочуть, щоб люди знали правду, тому цей пост треба поширити."
acc_6,"Правду приховують від суспільства, але її потрібно донести людям."
